|6.6.6
PT_inf_gloss16_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  22.9000        230.000       -329836.       -21291.7       -104916.     
  23.0000        231.000       -329217.       -20827.3       -105527.     
  23.1000        232.000       -329217.       -20827.3       -105527.     
  23.2000        233.000       -327442.       -19496.3       -107178.     
  23.3000        234.000       -324086.       -16979.1       -110037.     
  23.4000        235.000       -320570.       -14342.5       -112886.     
  23.5000        236.000       -318595.       -12861.3       -114498.     
  23.6000        237.000       -317425.       -11983.5       -115306.     
  23.7000        238.000       -316658.       -11408.3       -115833.     
  23.8000        239.000       -312743.       -8472.53       -119267.     
  23.9000        240.000       -312887.       -8580.38       -118979.     
  24.0000        241.000       -309731.       -6213.07       -121574.     
  24.1000        242.000       -309039.       -5694.36       -122129.     
  24.2000        243.000       -308939.       -5618.95       -122039.     
  24.3000        244.000       -307036.       -4192.04       -123691.     
  24.4000        245.000       -306760.       -3985.24       -123971.     
  24.5000        246.000       -306760.       -3985.24       -123971.     
  24.6000        247.000       -306760.       -3985.24       -123971.     
  24.7000        248.000       -306760.       -3985.24       -123971.     
  24.8000        249.000       -306760.       -3985.24       -123971.     
  24.9000        250.000       -306760.       -3985.24       -123971.     
  25.0000        251.000       -306760.       -3985.24       -123971.     
